UID,LAT,LONG,ELEV,Easting,Northing,Elevation,H_Prec_Obs,V_Prec_Obs,Date_Obs,Time_Obs
1,35.19258792580,-106.65921356100,1541.67611745000,348943.37323400000,3895660.78936000000,1541.67611745000,0.02157100000,0.02678200000,11/19/2016,9:44:05 AM
2,35.19253269370,-106.65929825200,1538.97255888000,348935.55978400000,3895654.79200000000,1538.97255888000,0.01885600000,0.02386600000,11/19/2016,9:45:55 AM
3,35.19237987970,-106.65930143700,1533.68225758000,348934.98687000000,3895637.84741000000,1533.68225758000,0.01805300000,0.02343700000,11/19/2016,9:47:59 AM
4,35.19245026490,-106.65936645500,1534.09015817000,348929.19724500000,3895645.75305000000,1534.09015817000,0.01719500000,0.02237200000,11/19/2016,9:48:49 AM
5,35.19237648810,-106.65977338100,1533.87688098000,348892.00984900000,3895638.18873000000,1533.87688098000,0.01838800000,0.02295200000,11/19/2016,9:50:13 AM
6,35.19219087090,-106.66004159000,1543.00275714000,348867.24536400000,3895618.00877000000,1543.00275714000,0.01405800000,0.01826500000,11/19/2016,9:54:37 AM
7,35.19203510850,-106.66021584900,1542.71290969000,348851.09042300000,3895600.99733000000,1542.71290969000,0.01329800000,0.01769600000,11/19/2016,9:55:51 AM
8,35.19267764670,-106.65976461700,1534.47005329000,348893.36558100000,3895671.57856000000,1534.47005329000,0.02060000000,0.02891200000,11/19/2016,10:03:41 AM
9,35.19310150570,-106.66004773400,1539.32183881000,348868.37303300000,3895719.02160000000,1539.32183881000,0.02037400000,0.02890600000,11/19/2016,10:05:27 AM
10,35.19348870040,-106.66030299300,1544.44850130000,348845.84921900000,3895762.35572000000,1544.44850130000,0.01338200000,0.01953100000,11/19/2016,10:06:37 AM
11,35.19450938360,-106.66187581200,1541.21374949000,348704.53824500000,3895877.95880000000,1541.21374949000,0.01190800000,0.01916600000,11/19/2016,10:16:55 AM
